id,name,family,style,alc_vol,bitter,ounces
439,Great Crescent Mild Ale,Other Ales,English Dark Mild Ale,0.042,26,16
32,CoCoNut Porter,Stout & Bitter,American Porter,0.057,30,12
2129,Monarch Classic American Wheat,Other Ales,American Pale Wheat Ale,0.043,21,12
2450,Self Starter,Pale Ale,American IPA,0.052000000000000005,67,16
856,Bombshell Blonde,Other Ales,American Blonde Ale,0.05,20,16
1967,General George Patton Pilsner,Lager & Pilsener,Czech Pilsener,0.054000000000000006,48,16
320,Gandhi-Bot Double IPA (12 oz.),Pale Ale,American Double / Imperial IPA,0.08800000000000001,85,12
1867,Saint Archer IPA,Pale Ale,American IPA,0.068,66,12
1434,Wood Chipper India Pale Ale,Pale Ale,American IPA,0.067,70,12
1123,Helles Golden Lager,Lager & Pilsener,Munich Helles Lager,0.049,18,12
929,Single Engine Red,Other Ales,Irish Red Ale,0.057999999999999996,46,12
571,Maduro Brown Ale,Other Ales,American Brown Ale,0.055,25,12
871,Dry Dock Amber Ale,Other Ales,American Amber / Red Ale,0.057999999999999996,49,12
2306,Summer Brew,Lager & Pilsener,American Pilsner,0.027999999999999997,15,12
37,Ashland Amber Ale,Other Ales,American Amber / Red Ale,0.054000000000000006,24,12
1165,Colorado Native,Lager & Pilsener,American Amber / Red Lager,0.055,26,12
2247,Lake Monster,Stout & Bitter,Baltic Porter,0.08199999999999999,25,16
2168,Amazon Princess IPA,Pale Ale,American IPA,0.062,62,12
383,Black Adder IBA (Current),Other Ales,American Black Ale,0.073,85,16
1258,5 Day IPA,Pale Ale,American IPA,0.061,66,12
2089,Trail Head,Pale Ale,American Pale Ale (APA),0.063,55,12
556,Eclipse Black IPA,Other Ales,American Black Ale,0.077,71,16
728,Day Tripper Pale Ale,Pale Ale,American Pale Ale (APA),0.054000000000000006,45,12
2132,Dad,Other Ales,American Amber / Red Ale,0.06,60,12
2213,Native Amber,Other Ales,American Amber / Red Ale,0.063,35,16
1199,Indian Paintbrush IPA,Pale Ale,American IPA,0.07,75,12
1310,Boston Lager,Lager & Pilsener,Vienna Lager,0.049,30,12
698,Indians Victory Lager (2012),Lager & Pilsener,Dortmunder / Export Lager,0.052000000000000005,24,16
2674,The Brown Note,Other Ales,English Brown Ale,0.05,20,16
1269,Great Crescent Coconut Porter,Stout & Bitter,American Porter,0.055999999999999994,33,16
389,Great Crescent Blonde Ale (2011),Other Ales,American Blonde Ale,0.053,22,16
2516,Farmer's Daughter Blonde,Other Ales,American Blonde Ale,0.051,17,16
2208,Lil' Helper,Pale Ale,American IPA,0.07,70,12
